hub,library,Term,Adjusted P-value,P-value,Combined Score,Odds Ratio,Genes
LF6,GO_Biological_Process_2023,Synapse Organization (GO:0050808),0.0512927257509762,0.0060817531478758,98.15812364603616,19.237403100775197,UNC13A;TNC
LF7,MSigDB_Hallmark_2020,Complement,0.1373709477445536,0.0237689324469591,33.956554984338226,9.08080808080808,CALM3;CTSV
LF7,MSigDB_Hallmark_2020,Hedgehog Signaling,0.1373709477445536,0.0423410822826446,78.32719402267635,24.77142857142857,L1CAM
LF7,MSigDB_Hallmark_2020,Apical Surface,0.1373709477445536,0.0515141054042076,59.77682211833107,20.154701718907987,AFAP1L2
LF7,MSigDB_Hallmark_2020,Coagulation,0.2144310182188985,0.1531819864913029,11.812286733900033,6.296096477308791,CTSV
LF7,MSigDB_Hallmark_2020,DNA Repair,0.2144310182188985,0.1653829533371849,10.411006495037403,5.78552669973738,AK1
LF7,MSigDB_Hallmark_2020,UV Response Up,0.2144310182188985,0.1734231440596118,9.615978751903612,5.488507338687344,CTSV
LF7,MSigDB_Hallmark_2020,Myogenesis,0.2144310182188985,0.2144310182188985,6.653261007649563,4.320952589032117,AK1
LF7,MSigDB_Hallmark_2020,p53 Pathway,0.2144310182188985,0.2144310182188985,6.653261007649563,4.320952589032117,AK1
LF7,KEGG_2021_Human,Vascular smooth muscle contraction,0.2706266509153936,0.0110078217315078,62.09858828771937,13.771686328938236,CALM3;PPP1R12C
LF7,KEGG_2021_Human,Oxytocin signaling pathway,0.2706266509153936,0.0145495707624935,50.15512059015245,11.85645933014354,CALM3;PPP1R12C
LF7,KEGG_2021_Human,Thiamine metabolism,0.2706266509153936,0.0178556385652366,249.55202523941097,61.993788819875775,AK1
LF7,KEGG_2021_Human,Mannose type O-glycan biosynthesis,0.2706266509153936,0.0272533389718204,142.06692893534887,39.43478260869565,FKRP
LF7,KEGG_2021_Human,Phototransduction,0.2706266509153936,0.0330830787572745,109.5021279575476,32.12399355877617,CALM3
LF7,KEGG_2021_Human,Long-term potentiation,0.2706266509153936,0.0774199020723618,33.55728718613052,13.115942028985508,CALM3
LF7,KEGG_2021_Human,Retinol metabolism,0.2706266509153936,0.0785307173419281,32.870720562250014,12.919532770927969,RDH10
LF7,KEGG_2021_Human,Amphetamine addiction,0.2706266509153936,0.0796402508235888,32.20711721652364,12.728900255754477,CALM3
LF7,GO_Biological_Process_2023,Regulation Of Cyclic-Nucleotide Phosphodiesterase Activity (GO:0051342),0.1102903437732158,0.0083709789916443,692.1463710595567,144.71014492753622,CALM3
LF7,GO_Biological_Process_2023,Positive Regulation Of Ryanodine-Sensitive Calcium-Release Channel Activity (GO:0060316),0.1102903437732158,0.0083709789916443,692.1463710595567,144.71014492753622,CALM3
LF7,GO_Biological_Process_2023,mRNA Pseudouridine Synthesis (GO:1990481),0.1102903437732158,0.0095613427178271,576.7477724354015,124.03105590062113,TRUB2
LF7,GO_Biological_Process_2023,Regulation Of High Voltage-Gated Calcium Channel Activity (GO:1901841),0.1102903437732158,0.0107503374648081,491.9093069362492,108.52173913043478,CALM3
LF7,GO_Biological_Process_2023,Negative Regulation Of Release Of Sequestered Calcium Ion Into Cytosol (GO:0051280),0.1102903437732158,0.0131242257813257,376.1677267870623,86.80869565217391,CALM3
LF7,GO_Biological_Process_2023,Negative Regulation Of Ryanodine-Sensitive Calcium-Release Channel Activity (GO:0060315),0.1102903437732158,0.0131242257813257,376.1677267870623,86.80869565217391,CALM3
LF7,GO_Biological_Process_2023,Regulation Of Cell Communication By Electrical Coupling Involved In Cardiac Conduction (GO:1901844),0.1102903437732158,0.0131242257813257,376.1677267870623,86.80869565217391,CALM3
LF7,GO_Biological_Process_2023,Detection Of Calcium Ion (GO:0005513),0.1102903437732158,0.014309122256811,335.1324919763037,78.91304347826087,CALM3
