module,feature,loading,abs_loading,rank_abs
rna_module_013,RNU6-752P,0.020995966662339712,0.020995966662339712,3
rna_module_013,KSR1P1,0.020364920302508454,0.020364920302508454,4
rna_module_013,FAM183DP,0.020194031063170876,0.020194031063170876,5
rna_module_013,RTBDN,0.020059650679827987,0.020059650679827987,6
rna_module_013,RPL19P18,0.019955358689917,0.019955358689917,7
rna_module_013,AL596214,0.019949417291504276,0.019949417291504276,8
rna_module_013,AL139344,0.01992800584172609,0.01992800584172609,9
rna_module_013,MIR3937,0.019899303798172802,0.019899303798172802,10
rna_module_013,NPVF,0.019861566957570326,0.019861566957570326,11
rna_module_013,GSG1L,0.019855533373696065,0.019855533373696065,12
rna_module_013,MTCO3P41,0.019706493545823815,0.019706493545823815,13
rna_module_013,AC112204,0.019511371279487297,0.019511371279487297,14
rna_module_013,AC106741,0.019500884136529395,0.019500884136529395,15
rna_module_013,AC011233,0.019473950348307956,0.019473950348307956,16
rna_module_013,EPHA1-AS1,0.019418536000878048,0.019418536000878048,17
rna_module_013,SMTNL1,0.019346851888123188,0.019346851888123188,18
rna_module_013,CLBA1,0.01919535882323038,0.01919535882323038,19
rna_module_013,LINC00603,0.01917952970960351,0.01917952970960351,20
rna_module_013,FILIP1,0.019125736940022224,0.019125736940022224,21
rna_module_013,ZNF519P1,0.019082456194068665,0.019082456194068665,22
rna_module_013,IL18R1,0.019060257091194948,0.019060257091194948,23
rna_module_013,CACNG7,0.01902451677573572,0.01902451677573572,24
rna_module_013,RNA5SP30,0.01890166246804762,0.01890166246804762,25
rna_module_014,TRIM67-AS1,0.01954776352975391,0.01954776352975391,1
rna_module_014,AC112176,-0.019168873220999246,0.019168873220999246,2
rna_module_014,VN1R32P,0.01911099325713813,0.01911099325713813,3
rna_module_014,AL136038,-0.01900642071570994,0.01900642071570994,4
rna_module_014,OR7E110P,0.018504420485189424,0.018504420485189424,5
rna_module_014,GOLGA6L7,0.01833286623217306,0.01833286623217306,6
rna_module_014,CA3,-0.01810956425238025,0.01810956425238025,7
rna_module_014,OXCT1-AS1,-0.017677834823464782,0.017677834823464782,8
rna_module_014,OR7A1P,0.01740027553620998,0.01740027553620998,9
rna_module_014,GOLGA8J,0.017335977751980192,0.017335977751980192,10
rna_module_014,AC091849,-0.01726431557540176,0.01726431557540176,11
rna_module_014,WNT10B,-0.017237865664327688,0.017237865664327688,12
rna_module_014,HMGB1P39,0.017216554973201893,0.017216554973201893,13
rna_module_014,C19orf85,0.01717817012609911,0.01717817012609911,14
rna_module_014,CAPN6,0.01678929821285558,0.01678929821285558,15
rna_module_014,AL356277,0.016770720235322938,0.016770720235322938,16
rna_module_014,COLCA1,-0.016754648349204457,0.016754648349204457,17
rna_module_014,TREML2,0.016749488863936235,0.016749488863936235,18
rna_module_014,SPATA41,-0.01668961990128053,0.01668961990128053,19
rna_module_014,RAB3A,0.016582378440833708,0.016582378440833708,20
rna_module_014,DMC1,-0.016578141982604294,0.016578141982604294,21
rna_module_014,RPL39P40,-0.01654336696809909,0.01654336696809909,22
rna_module_014,AC005076,-0.016528776926365098,0.016528776926365098,23
rna_module_014,AC097369,-0.016526932356836832,0.016526932356836832,24
rna_module_014,AC018845,-0.01648712648420954,0.01648712648420954,25
rna_module_015,LUM,0.019414852808770023,0.019414852808770023,1
rna_module_015,F13A1,0.01922909320041022,0.01922909320041022,2
rna_module_015,ADGRL1,-0.019208678832549737,0.019208678832549737,3
rna_module_015,NACC1,-0.018517614837014324,0.018517614837014324,4
rna_module_015,DCN,0.018469565002416796,0.018469565002416796,5
rna_module_015,AC140118,-0.018288476932122825,0.018288476932122825,6
rna_module_015,ARHGAP18,0.01819775052866191,0.01819775052866191,7
rna_module_015,LINC02370,-0.01780155982542878,0.01780155982542878,8
rna_module_015,CDC37,-0.01768521924261995,0.01768521924261995,9
rna_module_015,PRRX1,0.017587915947831483,0.017587915947831483,10
rna_module_015,LINC02544,0.017496832620481653,0.017496832620481653,11
rna_module_015,TMEM38A,-0.017430717854341513,0.017430717854341513,12
rna_module_015,C3P1,-0.017376453747238868,0.017376453747238868,13
rna_module_015,TAF1D,0.017220066268976802,0.017220066268976802,14
rna_module_015,KCNA2,-0.017168224863524616,0.017168224863524616,15
rna_module_015,OR7E121P,-0.017155200745789828,0.017155200745789828,16
rna_module_015,CCDC82,0.017123181823235776,0.017123181823235776,17
rna_module_015,OR7E39P,-0.017041605926914543,0.017041605926914543,18
rna_module_015,KCNK7,-0.017014439066215456,0.017014439066215456,19
rna_module_015,ELOCP32,-0.01699880849564816,0.01699880849564816,20
rna_module_015,SOSTDC1,0.01694058240687431,0.01694058240687431,21
rna_module_015,RND3,0.016746384292332397,0.016746384292332397,22
rna_module_015,ETV1,0.016735099326957208,0.016735099326957208,23
rna_module_015,MPV17L2,-0.016692017566808236,0.016692017566808236,24
rna_module_015,SNX5,0.01665663148752736,0.01665663148752736,25
rna_module_016,RNU7-121P,0.028241708251240855,0.028241708251240855,1
rna_module_016,PMCHL2,0.024660967905435795,0.024660967905435795,2
rna_module_016,SNORA11C,0.024158284887569766,0.024158284887569766,3
rna_module_016,SLC6A6P1,0.023626612822998584,0.023626612822998584,4
rna_module_016,AC011445,0.023602536633353478,0.023602536633353478,5
rna_module_016,RN7SKP168,0.023493929318635285,0.023493929318635285,6
rna_module_016,RMRPP5,0.023493929318635275,0.023493929318635275,7
rna_module_016,MIR4425,0.023493929318635275,0.023493929318635275,8
rna_module_016,RNU6-139P,0.023493929318635275,0.023493929318635275,9
rna_module_016,LINC02131,0.023493929318635275,0.023493929318635275,10
rna_module_016,RNU7-99P,0.023493929318635275,0.023493929318635275,11
rna_module_016,SNORD115-25,0.023493929318635275,0.023493929318635275,12
rna_module_016,LINC00903,0.023493929318635275,0.023493929318635275,13
rna_module_016,SNORD114-15,0.023493929318635275,0.023493929318635275,14
rna_module_016,RNU6-294P,0.023493929318635254,0.023493929318635254,15
rna_module_016,RN7SL703P,0.023493929318635254,0.023493929318635254,16
rna_module_016,MIR4666B,0.023493929318635254,0.023493929318635254,17
rna_module_016,KRTAP12-6P,0.023493929318635254,0.023493929318635254,18
rna_module_016,NTAN1P1,0.023493929318635254,0.023493929318635254,19
rna_module_016,RNU5F-7P,0.023493929318635254,0.023493929318635254,20
rna_module_016,RNU6-666P,0.023493929318635254,0.023493929318635254,21
rna_module_016,AL353811,0.023483951747192606,0.023483951747192606,22
rna_module_016,VWA8P1,0.02346265532832537,0.02346265532832537,23
rna_module_016,TMEM108-AS1,0.023314448965241635,0.023314448965241635,24
rna_module_016,IZUMO3,0.023218116753975452,0.023218116753975452,25
rna_module_017,MKX,0.019473303837677224,0.019473303837677224,1
rna_module_017,VMP1,-0.018698813444024298,0.018698813444024298,2
rna_module_017,LINC02145,-0.018642850022100758,0.018642850022100758,3
rna_module_017,AC132938,-0.0184570106683209,0.0184570106683209,4
rna_module_017,CDH2,0.01815289894964646,0.01815289894964646,5
rna_module_017,CDH18-AS1,0.018046203902129458,0.018046203902129458,6
rna_module_017,ATP1A2,0.01787349599016383,0.01787349599016383,7
rna_module_017,LINC01277,-0.017629137790453407,0.017629137790453407,8
rna_module_017,AANAT,-0.017454326295492994,0.017454326295492994,9
rna_module_017,HPSE2,0.01740608722757192,0.01740608722757192,10
rna_module_017,EPCAM-DT,0.01736200736032886,0.01736200736032886,11
rna_module_017,MMEL1,-0.01735421811100507,0.01735421811100507,12
rna_module_017,MTCO1P54,0.01729540917590386,0.01729540917590386,13
rna_module_017,SDC4P,-0.01723726785398475,0.01723726785398475,14
rna_module_017,OR51A10P,0.017108045575029873,0.017108045575029873,15
rna_module_017,PTCD2P1,0.017076722094739732,0.017076722094739732,16
rna_module_017,APONP,0.017020015945738248,0.017020015945738248,17
rna_module_017,DNM1P17,0.016917440937508216,0.016917440937508216,18
rna_module_017,SPATA31D2P,0.016904603989537588,0.016904603989537588,19
rna_module_017,AC129915,0.01686483681439519,0.01686483681439519,20
rna_module_017,NARF,-0.01679387363363859,0.01679387363363859,21
rna_module_017,EIF4A2P5,0.016768915945882347,0.016768915945882347,22
rna_module_017,MST1P2,-0.01675670817132168,0.01675670817132168,23
rna_module_017,SUGT1P1,0.01674574549434848,0.01674574549434848,24
rna_module_017,AC087575,0.016713169940167135,0.016713169940167135,25
rna_module_018,STOML3,0.022964666794901317,0.022964666794901317,1
rna_module_018,CFAP52,0.022107787039826333,0.022107787039826333,2
rna_module_018,GAS2L2,0.021787653829425054,0.021787653829425054,3
