module,feature,loading,abs_loading,rank_abs
protein_module_006,AGID00291,-0.09365982103965476,0.09365982103965476,21
protein_module_006,AGID00193,-0.09278950821441924,0.09278950821441924,22
protein_module_006,AGID00074,-0.09176719106101092,0.09176719106101092,23
protein_module_006,AGID00381,0.08910394738045704,0.08910394738045704,24
protein_module_006,AGID00173,-0.08702260769911696,0.08702260769911696,25
protein_module_007,AGID00002,0.14501090675985578,0.14501090675985578,1
protein_module_007,AGID00350,-0.11895101473977364,0.11895101473977364,2
protein_module_007,AGID00387,-0.11462038645641315,0.11462038645641315,3
protein_module_007,AGID00003,0.11323069105963929,0.11323069105963929,4
protein_module_007,AGID00050,-0.11174358033701381,0.11174358033701381,5
protein_module_007,AGID00177,-0.10634315036795346,0.10634315036795346,6
protein_module_007,AGID00208,-0.10346042234509992,0.10346042234509992,7
protein_module_007,AGID00396,-0.09967182200835353,0.09967182200835353,8
protein_module_007,AGID00020,0.09824812020838539,0.09824812020838539,9
protein_module_007,AGID00004,0.09547169008201939,0.09547169008201939,10
protein_module_007,AGID00209,-0.0928858035431487,0.0928858035431487,11
protein_module_007,AGID00271,0.09199205255078985,0.09199205255078985,12
protein_module_007,AGID00400,-0.08921092999745173,0.08921092999745173,13
protein_module_007,AGID00512,0.08919539394854134,0.08919539394854134,14
protein_module_007,AGID00402,0.08904798933606145,0.08904798933606145,15
protein_module_007,AGID00010,0.08826618091931701,0.08826618091931701,16
protein_module_007,AGID00090,0.08570738134740175,0.08570738134740175,17
protein_module_007,AGID00201,-0.0854337420598692,0.0854337420598692,18
protein_module_007,AGID00168,-0.08472712529624005,0.08472712529624005,19
protein_module_007,AGID02213,0.08396264271673795,0.08396264271673795,20
protein_module_007,AGID00033,0.08364861198889821,0.08364861198889821,21
protein_module_007,AGID00005,0.08344247248925618,0.08344247248925618,22
protein_module_007,AGID00332,-0.08343598709903013,0.08343598709903013,23
protein_module_007,AGID00179,0.08220728679793293,0.08220728679793293,24
protein_module_007,AGID00324,-0.08198067585920196,0.08198067585920196,25
protein_module_008,AGID00250,0.1690865107196752,0.1690865107196752,1
protein_module_008,AGID02221,0.139517637848076,0.139517637848076,2
protein_module_008,AGID00372,0.13789825671627184,0.13789825671627184,3
protein_module_008,AGID00439,-0.1345949509185715,0.1345949509185715,4
protein_module_008,AGID00397,0.1340584094610581,0.1340584094610581,5
protein_module_008,AGID00220,0.121635208894089,0.121635208894089,6
protein_module_008,AGID00042,-0.11558569944570392,0.11558569944570392,7
protein_module_008,AGID00148,-0.11379654888342464,0.11379654888342464,8
protein_module_008,AGID00443,-0.11317992226374378,0.11317992226374378,9
protein_module_008,AGID02101,0.10573490748872914,0.10573490748872914,10
protein_module_008,AGID00232,-0.10279939031685993,0.10279939031685993,11
protein_module_008,AGID00060,0.10086613859993507,0.10086613859993507,12
protein_module_008,AGID00013,-0.1001193085351244,0.1001193085351244,13
protein_module_008,AGID00125,0.09948797068939418,0.09948797068939418,14
protein_module_008,AGID00364,0.09845135467036938,0.09845135467036938,15
protein_module_008,AGID02212,0.09681364487196156,0.09681364487196156,16
protein_module_008,AGID02136,-0.09516626970194134,0.09516626970194134,17
protein_module_008,AGID00292,0.09508949242797246,0.09508949242797246,18
protein_module_008,AGID00296,-0.09419268783417963,0.09419268783417963,19
protein_module_008,AGID00532,0.09386307557973847,0.09386307557973847,20
protein_module_008,AGID00104,0.09327434344894546,0.09327434344894546,21
protein_module_008,AGID00015,-0.09325589871464257,0.09325589871464257,22
protein_module_008,AGID00312,-0.09102467212716622,0.09102467212716622,23
protein_module_008,AGID00441,0.09074453129110505,0.09074453129110505,24
